area_id,dragons,royalty
vtka,2,5
shoa,9,5
teka,2,3
uwvm,5,5
vevx,2,4
ehkf,7,5
wfxt,0,4
hyx,8,5
joah,1,4
jxt,3,5
nhld,6,7
dejj,2,5
scns,1,5
bana,0,4
brnv,1,4
tjwn,2,2
dljh,6,5
ghxb,4,3
glfp,5,4
ncps,8,4
adcn,2,3
cpxi,5,7
clbp,6,4
eqf,2,3
uyig,2,4
dlf,4,3
pvjk,4,4
jfvs,3,6
wtuj,6,5
dmof,1,1
qafa,6,6
adpd,8,5
nits,0,4
anly,3,5
iskb,9,6
vmph,6,6
tjgu,4,3
cppr,1,3
laru,6,5
bkac,3,4
mhpm,7,4
sn,7,5
jruf,0,4
rwdw,7,5
yukq,0,4
gbxe,6,4
jldq,8,5
gwwv,8,5
xgnc,1,5
dhbx,3,3
fxqd,7,5
unmn,0,4
nbkd,9,4
mcx,2,4
bgjd,1,6
cqfc,1,3
wigq,5,4
nmwm,9,4
adxy,9,5
leau,5,5
wfxb,2,4
tqho,3,5
tlpy,5,4
nvkv,8,5
pmij,3,5
tjva,3,4
jxxb,6,5
uuan,1,4
ruki,1,4
jne,8,6
hii,8,5
pxoi,8,6
wsjm,1,5
rmfq,8,4
trbh,1,6
rbss,3,5
spql,2,4
kjmh,6,4
pkqe,9,5
qgkv,4,3
cowq,0,3
lkkc,8,5
tjxq,4,3
tdul,7,6
wlb,3,4
eafa,8,4
sxlh,3,4
nrd,0,3
ssds,0,5
trkn,2,4
mnjb,7,4
xlfe,8,3
deq,6,6
qhyr,1,4
cstl,6,5
pevj,7,6
pinm,9,4
unn,8,4
qiak,7,4
qdw,7,4
qnnl,0,3
pkeh,5,4
gure,2,4
sirw,4,4
lfyi,1,4
jpmf,4,4
wajs,7,4
bgem,7,4
bkyj,1,4
olob,1,4
kuyl,3,3
mpyx,1,4
htgi,4,6
ndwe,2,3
xlyp,0,4
yrej,8,7
tvcn,2,4
dlle,7,6
olrw,2,4
wpt,0,5
rgcx,4,5
omxr,7,4
psyn,7,5
ibhe,1,3
xqfy,4,4
mddb,6,4
ica,6,4
jgpe,8,5
nego,1,4
vwei,3,5
