area_id,dragons,royalty
muf,5,4
xgjd,7,7
iono,8,1
sfcc,7,4
rqsd,5,3
ielq,5,3
vlev,5,6
dfhp,3,5
sfpg,7,5
yysr,1,4
gask,3,5
nxfu,7,6
muyq,6,6
cgen,6,3
vdhh,7,4
cxyf,4,3
kjwm,5,4
kyxk,1,3
nyfu,6,5
ajh,6,5
wuto,3,4
mhv,2,5
fttc,2,6
cngh,7,5
vxcx,9,8
ofhi,4,3
egfv,2,3
ovjf,6,5
kjan,4,3
kiuo,7,1
okip,7,5
nvlb,1,4
utjq,9,5
pkhs,6,6
vdxg,7,4
yqph,4,3
bgnf,9,4
xkfk,3,4
yqgu,4,3
ktxg,2,4
lhb,8,9
tyq,7,2
ksdk,8,6
esio,6,6
gety,2,5
ioxw,0,4
qbnh,7,7
wwuw,8,7
hlco,5,5
xfp,3,3
prwx,7,8
merc,4,6
jkkn,3,6
qepo,9,0
kkir,5,2
vvg,9,3
ujpk,2,3
mnna,9,3
boyt,0,4
apac,4,7
nmhx,5,6
fivy,7,5
kyb,1,3
xtx,7,5
aabj,7,3
lsgb,3,4
citt,4,4
bplh,1,5
tgwm,6,4
umpa,7,6
qkim,3,5
hd,3,5
puah,0,4
vfvt,0,3
ybrl,4,3
xyx,9,4
mpva,4,6
mlmt,6,6
tsle,9,1
amtn,2,5
qmvs,3,4
xcfv,2,7
kntl,6,6
gygq,3,5
hsud,3,4
prj,3,4
ojec,2,5
xvse,3,5
eqjo,9,3
evvv,3,4
sbqn,4,1
yajw,5,6
subc,5,6
busa,6,5
pxjq,1,4
nrru,9,8
srsq,5,3
ridq,6,5
lgkk,3,3
unbi,8,8
uulg,5,5
ocqb,1,4
osqs,6,2
adqg,8,5
sxob,7,6
dxsy,3,4
gsaf,6,4
ulkk,6,6
lan,2,4
wdyo,7,8
qqws,2,4
kwgd,1,4
dpkx,5,4
dmum,3,3
vchq,2,5
fbtm,7,4
fbuo,2,4
fuj,6,6
qysx,2,5
amly,1,4
enhx,7,6
ffov,1,5
dfrm,6,6
hlqp,7,8
mebd,8,4
afcn,5,2
bmdu,1,3
josn,6,5
ysec,2,4
utxp,4,4
