area_id,dragons,livestock,outlier
pink,1,24,FALSE
ugi,6,20,FALSE
vtct,2,23,FALSE
uto,5,23,FALSE
jhgl,5,33,FALSE
jeyj,3,18,FALSE
jqov,2,28,FALSE
ugv,6,32,FALSE
cfbv,4,10,FALSE
ma,3,19,FALSE
fttc,9,71,TRUE
sew,8,30,FALSE
hacq,9,19,FALSE
tckw,3,32,FALSE
achf,4,28,FALSE
pkva,6,29,FALSE
siof,7,29,FALSE
dekj,6,27,FALSE
amfs,8,28,FALSE
pupg,2,22,FALSE
vub,1,20,FALSE
awxu,6,20,FALSE
tlwn,9,29,FALSE
wviu,0,29,FALSE
qiya,3,33,FALSE
jjfm,4,26,FALSE
oqmx,2,18,FALSE
mrrk,0,16,FALSE
jlhb,2,26,FALSE
uwsc,6,29,FALSE
ktk,5,31,FALSE
qoop,7,13,FALSE
akpn,3,17,FALSE
eqel,2,26,FALSE
ovks,4,22,FALSE
nyck,6,26,FALSE
amfn,4,23,FALSE
giou,4,15,FALSE
hluv,8,26,FALSE
xgua,8,27,FALSE
xie,6,18,FALSE
tmvs,1,21,FALSE
xlvh,8,22,FALSE
qall,4,19,FALSE
nint,1,24,FALSE
dvsm,4,23,FALSE
brhd,8,20,FALSE
txce,9,71,TRUE
cmve,8,25,FALSE
ngcx,4,28,FALSE
liay,6,20,FALSE
mod,9,29,FALSE
wssn,6,14,FALSE
