author,study,measure,high_disorganization_is,rater,method,foa,lab,clinical_group,age,clinical_mean,clinical_sd,clinical_n,control_mean,control_sd,control_n,es_id,F,t,r,n_for_r,ptsd_measure,ptsd_mean_clin,ptsd_sd_clin,ptsd_mean_ctrl,ptsd_sd_ctrl,ptsd_mean_all,ptsd_sd_all,source,notes
Berntsen et al. (2003),1,Coherence,Low score,Self,Memory questionnaire,Not FOA,Rubin,PTSD,Adult,3.25,1.3,25,3.25,1.39,88,1,,,,,PDS,,,,,,,Table 2,
Evans et al. (2007),1,Global disorganization rating,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,4.74,1.76,48,3.84,1.53,57,2,,,0.36,103,PSS-I,10.35,5.76,2.28,2.23,,,Table 2,Table 2 says N = 103 (not 105) but it's unclear where the two participants are lost so I have left Ns for each group alone.
Evans et al. (2007),1,Disorganization of individual narrative elements,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,0.56,1.57,48,-0.47,1.45,57,3,,,0.2,103,PSS-I,10.35,5.76,2.28,2.23,,,Table 2,
Hagenaars et al. (2009),1,Disorganisation,High score,Self,Memory questionnaire,Not FOA,Other,PTSD,Adult,0.73,0.08,59,0.45,0.06,135,4,,,,,MINI/PSS,22.41,8.44,3.17,3.27,,,Table 2,First author confirmed by email that reported SDs are in fact SEs
Halligan et al. (2003),1,Disorganization of individual  narrative elements,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,0.74,2,32,-0.92,1.5,29,5,,,,,PDS,29,10.5,6.2,6.1,,,Table 4,
Halligan et al. (2003),1,Overall coherence,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,5.1,2.6,32,2.2,2.3,29,6,,,,,PDS,29,10.5,6.2,6.1,,,Table 4,
Halligan et al. (2003),1,Disorganization,High score,Self,Trauma Memory Questionnaire,FOA,Other,PTSD,Adult,1.2,1.2,32,0.4,0.6,29,7,,,,,PDS,29,10.5,6.2,6.1,,,Table 4,
Halligan et al. (2003),2,Disorganization of individual  narrative elements,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,,,31,,,42,8,,,0.45,71,PDS,28.6,8,9.3,6,,,Table 5,Initial timepoint
Halligan et al. (2003),2,Overall coherence,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,,,31,,,42,9,,,0.38,73,PDS,28.6,8,9.3,6,,,Table 5,Initial timepoint
Halligan et al. (2003),2,Disorganization,High score,Self,Trauma Memory Questionnaire,FOA,Other,PTSD,Adult,,,31,,,42,10,,,0.29,73,PDS,28.6,8,9.3,6,,,Table 5,Initial timepoint
Halligan et al. (2003),2,Disorganization,High score,Self,Trauma Memory Questionnaire,FOA,Other,PTSD,Adult,,,31,,,42,11,,,0.32,70,PDS,28.6,8,9.3,6,,,P. 428,"6 months, Ns approximate due to missing info on dropout"
Halligan et al. (2003),2,Disorganization,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,,,31,,,42,12,,,0.42,69,PDS,28.6,8,9.3,6,,,P. 428,"6 months, Ns approximate due to missing info on dropout"
Halligan et al. (2003),2,Disorganization,High score,Judge,Trauma narrative,FOA,Other,PTSD,Adult,,,31,,,42,13,,,0.59,70,PDS,28.6,8,9.3,6,,,P. 428,"6 months, Ns approximate due to missing info on dropout"
Harvey & Bryant (1999),1,Disorganization of individual  narrative elements,High score,Judge,Trauma narrative,FOA,Other,ASD,Adult,20.32,,14,8.89,,15,14,6.21,2.491987,0.42,29,ASDI,,,,,,,Page 403 and Table 2.," No SDs reported, t taken from reported F-value on p 403 (t = sqrt(F)), direction of t reflects direction of means (positive t = clinical group has higher mean) "
