Title,Author,PubYear,idx,Domain,CodedAge,Age,MeanAge,YoungOld,mean.e,mean.c,n.e,n.c,sd.e,sd.c
Altered brain activation in cognitively intact individuals at high risk for Alzheimer's disease,Smith et al (1999),1999,1,Construction,1,M,NA,1,11.6,10.36,14,12,3.3,2.3
Altered medial temporal lobe responses during visuospatial encoding in healthy APOE*4 carriers,Borghesani et al (2008),2008,2,Spatial Navigation,1,O,72.9,1,59.1,57.9,7,7,5.1,4.3
Altered medial temporal lobe responses during visuospatial encoding in healthy APOE*4 carriers,Borghesani et al (2008),2008,2,Spatial Navigation,1,O,72.9,1,60.5,62.9,7,7,10.9,13.1
ApoE genotype and abnormal auditory cortical potentials in healthy older females,"Irimajiri, Golob & Starr (2010)",2010,3,Construction,1,O,69.53333333,1,11.6,10.6,10,20,2.1,1.1
ApoE genotype and abnormal auditory cortical potentials in healthy older females,"Irimajiri, Golob & Starr (2010)",2010,3,Construction,1,O,69.53333333,1,10.8,11.6,10,20,0.4,2.7
APOE influences on neuropsychological function after mild head injury - Within-person comparisons,Sundström et al. (2004),2004,4,Construction,NA,L,NA,NA,29.18,29.61,11,23,8.07,9.59
APOE influences working memory in non-demented elderly through an interaction with SPON1 rs2618516,Liu et al. (2018),2018,5,Spatial Long Term Memory,1,O,64.4,1,12.54,13.5,119,591,6.71,6.3
APOE modifies the interaction of entorhinal cerebral blood flow and cortical thickness on memory function in cognitively normal older adults,Hays et al (2019),2019,6,Construction,1,O,73.3,1,45.22,47.07,41,76,6.901,7.93
ApoE ε4 allele related alterations in hippocampal connectivity in early Alzheimer’s disease support memory performance,De Marco et al. (2017),2017,7,Construction,1,O,73.5,1,29.23333333,28.13333333,15,15,3.949984931,6.359657074
ApoE ε4 allele related alterations in hippocampal connectivity in early Alzheimer’s disease support memory performance,De Marco et al. (2017),2017,7,Spatial Long Term Memory,1,O,73.5,1,8.4,7.866666667,15,15,4.400486986,3.916388035
ApoE ε4 allele related alterations in hippocampal connectivity in early Alzheimer’s disease support memory performance,De Marco et al. (2017),2017,7,Spatial Reasoning,1,O,73.5,1,26.33333333,25,15,15,5.433581648,6.469709642
ApoE ε4 allele related alterations in hippocampal connectivity in early Alzheimer’s disease support memory performance,De Marco et al. (2017),2017,7,Spatial Working Memory,1,O,73.5,1,4.133333333,4.133333333,15,15,0.743223353,0.743223353
APOE ε4 alters associations between docosahexaenoic acid and preclinical markers of Alzheimer's disease,Coughlan et al (2021),2021,8,Spatial Navigation,1,O,61.3,1,9.545454545,11.75,24,24,4.079300509,2.722690485
APOE ε4 alters associations between docosahexaenoic acid and preclinical markers of Alzheimer's disease,Coughlan et al (2021),2021,8,Spatial Navigation,1,O,61.3,1,7.714285714,7.270833333,24,24,3.10874343,2.974453427
APOE ε4 alters associations between docosahexaenoic acid and preclinical markers of Alzheimer's disease,Coughlan et al (2021),2021,8,Spatial Navigation,1,O,61.3,1,11.61904762,11.8125,24,24,3.007926038,2.381141944
APOE ε4 alters associations between docosahexaenoic acid and preclinical markers of Alzheimer's disease,Coughlan et al (2021),2021,8,Spatial Navigation,1,O,61.3,1,0.375714286,0.59,24,24,0.130444296,0.201860908
APOE ε4 differentially influences change in memory performance depending on age. The SMART-MR study,Jochemsen et al (2012),2012,9,Spatial Long Term Memory,1,M,NA,1,19.96,19.39,243,512,7.414,6.893
APOE ε4 differentially influences change in memory performance depending on age. The SMART-MR study,Jochemsen et al (2012),2012,9,Construction,1,M,NA,1,34.27,34.54,247,517,4.201,2.804
APOE-ε4 selectively modulates posteromedial cortex activity during scene perception and short-term memory in young healthy adults,Shine et al. (2015),2015,10,Construction,0,Y,19.7,0,35.4,35.23,15,13,0.91,1.01
APOE-ε4 selectively modulates posteromedial cortex activity during scene perception and short-term memory in young healthy adults,Shine et al. (2015),2015,10,Spatial Long Term Memory,0,Y,19.7,0,26.47,24.81,15,13,5.46,6.22
APOE4 Status is Related to Differences in Memory-Related Brain Function in Asymptomatic Older Adults with Family History of Alzheimer's Disease: Baseline Analysis of the PREVENT-AD Task Functional MRI Dataset,Rabipour et al (2020),2020,11,Spatial Long Term Memory,1,O,63.42,1,0.54,0.54,67,98,0.17,0.15
Apolipoprotein E epsilon 4 allele and hippocampal volume in twins with normal cognition,Plassman et al (1997),1997,12,Spatial Long Term Memory,1,O,62.5,1,6.83,6.57,6,14,0.98,0.85
Apolipoprotein E epsilon 4 allele and lorazepam effects on memory in high-functioning older adults,Pomara et al (2005),2005,13,Composite,1,O,66.1,1,52.3,54.2,24,40,9.5,7.5
Apolipoprotein E epsilon 4 Allele is not associated with the cognitive impairment in community-dwelling normal elderly individuals,Kim et al (2002),2002,14,Construction,1,O,70.1,1,9.2,9.1,74,392,2.1,2.2
